name,price,item_id,category,description
AKG P220 Large-diaphragm Wired XLR Condenser Microphone,$79.99,23823025942,Microphones & Wireless Systems,"['Brand:AKG', 'Form Factor:Condenser Microphone', 'Connectivity:Wired', 'Model:P220', 'Diaphragm Size:Large', 'Suitable For:Recording', 'Color:Black', 'Country/Region of Manufacture:China']"
Gretsch G2410TG Streamliner Right-Handed Electric Guitar Hollow Body Single-Cut,$429.99,23823025836,Electric Guitars,"['Brand:Gretsch', 'Type:Electric Guitar', 'Series:Streamliner', 'Model:G2410TG', 'Body Color:Village Amber', 'Handedness:Right-Handed', 'Body Type:Hollow', 'String Configuration:6-String', 'Number of Frets:21', 'Performance Level:Intermediate', 'Size:4/4']"
Paiste 14-Inch Signature Precision Traditional Finish Hi-Hat Cymbals,$329.99,25123047027,Cymbals,"['Brand:Paiste', 'Type:Hi-Hat Cymbals', 'Item Diameter:14""', 'Model:Signature Precision', 'MPN:Does Not Apply']"
Paititi Music Co. Ltd. Artist100 4/4 Violin,$159.99,23121035127,Violins,"['Brand:Paititi', 'Instrument:Violin', 'Size:4/4', 'Number of Strings:4', 'MPN:Artist100', 'Color:Brown', 'Set Includes:Bow, Case']"
Sterling By Music Man StingRay Ray4 RH Electric Bass Guitar,$224.99,25223040005,Bass Guitars,"['Brand:Sterling', 'Type:Electric Bass', 'String Configuration:4 String', 'Model:Ray 4', 'Body Type:Solid', 'Handedness:Right-Handed', 'Body Color:Brown', 'Body Material:Basswood', 'Fretboard Material:Jatoba', 'Neck Material:Maple']"
Hyperx Quadcast S QDC001 USB Condenser Gaming/Podcast Microphone Black,$49.99,23832000800,Microphones & Wireless Systems,"['Brand:HyperX', 'Form Factor:Freestanding', 'Connectivity:USB', 'Model:QuadCast S', 'Features:Tap-to-Mute sensor', 'Suitable For:Podcast', 'Color:Black']"
Mackie ProFX10v3 10-channel Mixer USB and Effects,$179.99,23823025946,Live & Studio Mixers,"['Brand:Mackie', 'Type:Mixing Console', 'Number of Channels:10', 'Number of Line Inputs:4', 'Model:PROFX10V3']"
Gibson Hummingbird Pro Right-Handed Acoustic/Electric Guitar Faded Cherry,$349.99,23823025837,Acoustic Electric Guitars,"['Brand:Epiphone', 'Type:Acoustic-Electric Guitar', 'String Configuration:6 String', 'Number of Frets:20', 'Body Type:Hollow', 'Model:Hummingbird Pro/FC', 'Handedness:Right-Handed', 'Body Material:Spruce/Mahogany', 'Series:Hummingbird', 'Body Color:Faded Cherry', 'Fretboard Material:Rosewood', 'Size:4/4', 'Performance Level:Intermediate']"
Fender DG-11 Right-Handed Acoustic Guitar Sunburst Finish,$149.99,23821048044,Acoustic Guitars,"['Brand:Fender', 'Type:Right-Handed Acoustic Guitar', 'Number of Frets:20', 'Model:DG-11', 'Body Type:Dreadnought', 'String Configuration:6 String', 'Set Includes:Hard Case']"
Yamaha FG840 Folk Dreadnought Acoustic Guitar - Fishman Pickup,$299.99,25225030873,Acoustic Guitars,"['Brand:Yamaha', 'Type:Acoustic', 'Number of Frets:20', 'Model:FG840', 'Body Type:Dreadnought', 'String Configuration:6 String', 'Series:FG', 'Body Material:Maple/Spruce', 'Handedness:Right', 'Body Color:Natural', 'Fretboard Material:Rosewood', 'Neck Material:Maple']"
