name,price,item_id,category,description,image_url
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051015,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Denver, Philadelphia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//ce389be1-0c1b-4e08-8f48-fa1b436e630f.jpg', 'https://assets.pawnamerica.com/ProductImages//ca3172e0-8c8e-44a4-aa09-6c6ddfc8f919.jpg', 'https://assets.pawnamerica.com/ProductImages//fe73f64a-0849-46df-80bd-7df650102f3b.jpg', 'https://assets.pawnamerica.com/ProductImages//a24846b8-438e-463b-94c9-3405de0b4e53.jpg', 'https://assets.pawnamerica.com/ProductImages//dfbb52aa-06ea-45e1-881a-332f7d4a3b52.jpg', 'https://assets.pawnamerica.com/ProductImages//2494d823-1b7f-4206-aefb-c5ca37f2ba7a.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051018,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Philadelphia, Denver', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//af6a8641-3993-4f89-843d-b47958ef141f.jpg', 'https://assets.pawnamerica.com/ProductImages//9e9db6a2-9955-4eda-a9a4-84b3fd914e0f.jpg', 'https://assets.pawnamerica.com/ProductImages//2c4fa673-9535-414b-b6e5-ba3c7ce21094.jpg', 'https://assets.pawnamerica.com/ProductImages//0c077f9a-1a2f-4ef9-990a-5c115b989db3.jpg', 'https://assets.pawnamerica.com/ProductImages//dbea80a8-1533-4507-b1b4-3bfd0d608512.jpg', 'https://assets.pawnamerica.com/ProductImages//7ee42b53-920f-4f10-b12a-876fce0cb096.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051017,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Denver, Philadelphia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//8ae9505f-f653-4361-b711-e35f4cfb6904.jpg', 'https://assets.pawnamerica.com/ProductImages//d924535f-c4ca-4f21-88fb-a6b03f22a291.jpg', 'https://assets.pawnamerica.com/ProductImages//d7f8df54-ea7c-4272-b63e-c2544f00e82a.jpg', 'https://assets.pawnamerica.com/ProductImages//fecae757-275f-4fb1-be5e-85e85d55a61c.jpg', 'https://assets.pawnamerica.com/ProductImages//97294e89-5fde-46fa-9a6e-12baf7317e58.jpg', 'https://assets.pawnamerica.com/ProductImages//8f753046-962d-48f7-8aed-990cca30167f.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051019,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Denver, Philadelphia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//1428b1ce-b73c-4703-aa49-ebeabe3caea8.jpg', 'https://assets.pawnamerica.com/ProductImages//c85bc71f-70ab-4b59-9770-ef3c0e226411.jpg', 'https://assets.pawnamerica.com/ProductImages//050f4a23-1cf7-4208-8959-0d443a9b782e.jpg', 'https://assets.pawnamerica.com/ProductImages//3ed98fe7-24de-45e5-b45a-82017ecec028.jpg', 'https://assets.pawnamerica.com/ProductImages//09ea1c0d-adaa-4fd9-bdc5-97713e86aa7a.jpg', 'https://assets.pawnamerica.com/ProductImages//6d6acb57-c442-4bae-985b-80059c9eb2af.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051013,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Denver, Philadephia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//e3a0a9ab-d405-41f6-91f4-f44cdae4d591.jpg', 'https://assets.pawnamerica.com/ProductImages//56e5598f-0180-4e3b-a55b-ba7891ada2e2.jpg', 'https://assets.pawnamerica.com/ProductImages//e91bf2a0-387c-47ac-9b9a-980cee591cec.jpg', 'https://assets.pawnamerica.com/ProductImages//220e1bd6-d96e-4ccb-b563-13fddc96b2a8.jpg', 'https://assets.pawnamerica.com/ProductImages//8b5773d6-f4c6-412e-9252-c380e8b5c5e6.jpg', 'https://assets.pawnamerica.com/ProductImages//30259516-7053-4ca7-abcb-8f52c74a4ced.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 20,$249.99,25524051014,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Denver, Philadelphia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 20 coins.']","['https://assets.pawnamerica.com/ProductImages//2dc69b08-f7be-4d99-8e0a-6692c75b3b72.jpg', 'https://assets.pawnamerica.com/ProductImages//73e1470a-da4b-4ad0-98eb-a2a1f5de2119.jpg', 'https://assets.pawnamerica.com/ProductImages//6eec0840-a727-4e72-8353-a8b24d2f00c2.jpg', 'https://assets.pawnamerica.com/ProductImages//174853de-8da0-48fb-a445-ba93994cf0a9.jpg', 'https://assets.pawnamerica.com/ProductImages//26da211b-15a2-439f-8117-c1f2add43bb6.jpg', 'https://assets.pawnamerica.com/ProductImages//b9ba6ae9-8820-4962-aad8-235459fe6e84.jpg']"
1964 Kennedy Silver Half Dollar 90% Fine Silver Coins Set of 10,$249.99,25524051012,Kennedy (1964-Now),"['Certification:Uncertified', 'Year:1964', 'Circulated/Uncirculated:Circulated', 'Denomination:50C', 'Composition:Silver', 'Mint Location:Philadelphia', 'Fineness:0.9', 'Country/Region of Manufacture:United States', 'Coin:Kennedy', 'Note:Set of 10 coins.']","['https://assets.pawnamerica.com/ProductImages//a12b41a6-d068-449d-ac70-346c8f7f6ac8.jpg', 'https://assets.pawnamerica.com/ProductImages//e692f64a-f1ba-4b1f-a7d8-c18539a80c37.jpg', 'https://assets.pawnamerica.com/ProductImages//0825d121-317e-4582-84a4-074e9a19cb69.jpg', 'https://assets.pawnamerica.com/ProductImages//79ba7d7c-2c88-414f-bb3a-e314d9fd3399.jpg', 'https://assets.pawnamerica.com/ProductImages//36d48889-832d-41f6-b797-36a41241f7ff.jpg', 'https://assets.pawnamerica.com/ProductImages//e0ebc3d0-fd28-4936-b7ef-16b5a3ef64ff.jpg']"
2023 Silver $2 Onc Papa - UHR FR Oglala Lakota Sioux Nation NGC MS 70 Antiqued,$349.99,23624047044,Coins,"['Certification:NGC', 'Year:2023', 'Precious Metal Content per Unit:2 oz', 'Grade:MS 70 Antiqued', 'Brand/Mint:U.S. Mint', 'Fineness:0.999', 'Certification Number:6782366-177', 'Country/Region of Manufacture:United States', 'Composition:Silver']","['https://assets.pawnamerica.com/ProductImages//591c38fb-a41b-4276-bdd7-ecd309070bdf.jpg', 'https://assets.pawnamerica.com/ProductImages//53905ef7-c78b-4c05-8fe5-b10d9b97b4dc.jpg', 'https://assets.pawnamerica.com/ProductImages//57a061e6-d78a-473c-96cb-c42afb1d6503.jpg', 'https://assets.pawnamerica.com/ProductImages//d1e7c681-a85e-4269-99c1-c887b6c3d443.jpg', 'https://assets.pawnamerica.com/ProductImages//1072f824-159e-4ef7-aca7-5209d214db7e.jpg', 'https://assets.pawnamerica.com/ProductImages//28026a5f-93df-4f60-b510-71f293201a33.jpg']"
2017 $10 American Eagle Liberty 1/4 oz Fine Gold Coin United States with Sleeve,$759.99,25424045198,Other US Coins,"['Certification:Uncertified', 'Denomination:$10', 'Mint Location:Philadelphia', 'Year:2017', 'Fineness:0.916', 'Composition:Gold', 'Circulated/Uncirculated:Circulated', 'Country/Region of Manufacture:United States']","['https://assets.pawnamerica.com/ProductImages//35327f86-ae13-4fa5-afdc-a97341ed5cf9.jpg', 'https://assets.pawnamerica.com/ProductImages//69cfde8b-797f-4de9-bafe-bb667a557735.jpg', 'https://assets.pawnamerica.com/ProductImages//ecef119f-004f-4337-8c0a-0e75d17e18f0.jpg', 'https://assets.pawnamerica.com/ProductImages//14d64f60-cb4e-46a5-b2e6-e4b7d8afbf54.jpg', 'https://assets.pawnamerica.com/ProductImages//a40a82db-15b2-4df8-aa05-f81594403778.jpg', 'https://assets.pawnamerica.com/ProductImages//30170cf1-d8b3-4561-be95-47190c9b5c3f.jpg']"
2019 $10 American Eagle Liberty 1/4 oz Fine Gold Coin United States with Sleeve,$759.99,25424045197,Other US Coins,"['Certification:Uncertified', 'Denomination:$10', 'Mint Location:Philadelphia', 'Year:2019', 'Fineness:0.916', 'Composition:Gold', 'Circulated/Uncirculated:Circulated', 'Country/Region of Manufacture:United States']","['https://assets.pawnamerica.com/ProductImages//fc5ed96b-4083-472e-a5ef-e6a3a327ae49.jpg', 'https://assets.pawnamerica.com/ProductImages//11aef180-f1ba-4a32-9afe-2af3a37a0a36.jpg', 'https://assets.pawnamerica.com/ProductImages//af90de9f-1f61-4343-833e-2c475d0e5948.jpg', 'https://assets.pawnamerica.com/ProductImages//e44cc67e-1b1a-4f66-9a65-23d44a9063c4.jpg', 'https://assets.pawnamerica.com/ProductImages//e85fa95e-b56a-4d8a-b280-42f32fd2d458.jpg', 'https://assets.pawnamerica.com/ProductImages//ea228963-5c62-42fc-b47b-ff48b8e4a083.jpg']"
2022 S.Africa Gold Krugerrand QEII Platinum Jubilee Privy G1/10K NGC PF 70 Boxed,$799.99,23624047043,Coins,"['Certification:NGC', 'Precious Metal Content per Unit:1/10 oz', 'Year:2022', 'Coin:South African Krugerrand', 'Grade:PR 70 Ultra Cameo', 'Brand/Mint:South African Mint', 'Certification Number:6784288-042', 'Country/Region of Manufacture:South Africa', 'Composition:Gold']","['https://assets.pawnamerica.com/ProductImages//cf60c556-6310-4704-a9b4-f0c1ace9c502.jpg', 'https://assets.pawnamerica.com/ProductImages//65aafb1a-34d9-4c46-9380-1063d2817639.jpg', 'https://assets.pawnamerica.com/ProductImages//8b2b6b61-7b69-4c2d-8a08-4f719020f471.jpg', 'https://assets.pawnamerica.com/ProductImages//60bc1af7-0eaf-4fc1-a4af-923d47e53e25.jpg', 'https://assets.pawnamerica.com/ProductImages//af21ca10-17d3-4d0f-b53e-3e304611bcef.jpg']"
2022 $5 American Eagle Liberty 1/10 oz Fine Gold Coin U.S. Coin with Sleeve,$359.99,25121046147,Other US Coins,"['Certification:Uncertified', 'Denomination:$5', 'Mint Location:Philadelphia', 'Year:2022', 'Fineness:0.916', 'Composition:Gold', 'Circulated/Uncirculated:Circulated', 'Country/Region of Manufacture:United States']","['https://assets.pawnamerica.com/ProductImages//2c58f1ad-e363-4665-929d-18d85d432608.jpg', 'https://assets.pawnamerica.com/ProductImages//cc9833e3-a96f-43d0-bc02-5081fbe671eb.jpg', 'https://assets.pawnamerica.com/ProductImages//7e6fb462-a08d-4904-9b60-c62983649de6.jpg', 'https://assets.pawnamerica.com/ProductImages//ad6362a1-e359-4020-b3cc-9f3e3d74329d.jpg', 'https://assets.pawnamerica.com/ProductImages//620ce430-4062-4e3a-98b5-84efa653d47a.jpg', 'https://assets.pawnamerica.com/ProductImages//125ce13a-37e6-40dc-a136-647b7e725c05.jpg']"
