name,price,item_id,category,description
Ray-Ban RB0840S Mega Wayfarer 901/31 51-21 Sunglasses,$79.99,23123025187,Sunglasses,"['Brand:Ray-Ban', 'Department:Unisex', 'Type:Sunglasses', 'Frame Color:Black', 'Model:Ray-Ban Mega Wayfarer', 'Style:Mega Wayfarer', 'Theme:Classic', 'MPN:RB0840S', 'Country/Region of Manufacture:Italy', 'Vintage:No', 'Personalized:No']"
Salvatore Ferragamo SF668S Gradient Oval Women's Sunglasses,$79.99,24223020802,Sunglasses,"['Brand:Salvatore Ferragamo', 'Type:Sunglasses', ""Department:Women's"", 'Frame Color:Black', 'Style:Oval Frame', 'MPN:Does Not Apply', 'Model:SF668S']"
Louis Vuitton Zip-Up Brown & Tan Envelope Clutch,$799.99,23121033383,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Style:Clutch', 'Exterior Color:Brown', 'Department:Women', 'Closure:Zip', 'Country/Region of Manufacture:France']"
Louis Vuitton Damier Ebene Coin Purse,$349.99,24915029604,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Leather', 'Style:Clutch', 'Exterior Color:Brown', 'Department:Women', 'Hardware Color:Gold', 'Model:Damier Ebene', 'Country/Region of Manufacture:France']"
Michael Kors Ladies Handbag MK Logo Gold Accents,$99.99,23121034439,Women's Bags & Handbags,"['Brand:Michael Kors', 'Exterior Material:Leather', 'Exterior Color:White', 'Department:Women', 'Lining Color:Brown', 'Size:Medium', 'Handle/Strap Material:Leather', 'Handle/Strap Color:Brown', 'Lining Material:Fabric', 'Hardware Color:Gold']"
Nike SB Dunk Low CU3244-100 Ben&Jerry's Chunky Dunky Multi-Color Sz7 Men's Shoes,$599.99,23623044937,Athletic Shoes,"['Brand:Nike', 'US Shoe Size:7', 'Style:Nike SB Dunk Low CU3244-100', 'Color:Multi-Colored', ""Department:Men's"", 'Type:Athletic', 'Style Code:Nike SB Dunk Low CU3244-100', 'UK Shoe Size:4.5', 'Model:Nike SB Dunk Low CU3244-100', 'Shoe Width:Standard', 'Performance/Activity:Runing', 'Release Year:2020', 'EU Shoe Size:38', 'Closure:Lace Up']"
Bose Soprano Cat Eye Polarized Bluetooth Audio Sunglasses 856580-0010,$129.99,23423051643,Sunglasses,"['Brand:Bose', 'Type:Audio Sunglasses', ""Department:Women's"", 'Frame Color:Black', 'Style:Cat-Eye', 'Frame Material:Plastic', 'Model:856580-0010']"
Bose Soprano Cat Eye Polarized Bluetooth Audio Sunglasses 856580-0010 1644,$129.99,23423051644,Sunglasses,"['Brand:Bose', 'Type:Audio Sunglasses', ""Department:Women's"", 'Frame Color:Black', 'Style:Cat-Eye', 'MPN:Does Not Apply', 'Model:856580-0010']"
Prada SPR 19Z Women's Sunglasses,$119.99,23721048015,Sunglasses,"['Brand:Prada', 'Type:Sunglasses', 'Department:Women', 'Frame Color:Black', 'Lens Color:Light Black', 'MPN:SPR 19Z', ""Model:SPR 19Z  Women's Sunglasses""]"
Coach 1941 F26829 Rogue Shoulder Bag - Black 8088,$249.99,23524038088,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Material:Grain Leather', 'Style:Shoulder Bag', 'Exterior Color:Black', 'Department:Women', 'Model:Rogue', 'MPN:F26829']"
Nike FD5810 101 Air Max 90 GORE-TEX Men's Shoes - Infrared (M 9.5),$99.99,24223020342,Athletic Shoes,"['Brand:Nike', 'US Shoe Size:9.5', 'Style:Air Max 90 GORE-TEX', 'Color:Infrared', ""Department:Men's"", 'Type:Athletic', 'Customized:No', 'Product Line:Nike Air Max', 'Model:FD5810 101', 'Closure:Tie']"
